segment Vietnam
20.983 107.765
20.986 107.769
20.986 107.775
20.984 107.777
20.981 107.777
20.971 107.781
20.971 107.774
20.966 107.772
20.959 107.765
20.956 107.757
20.95 107.75
20.949 107.745
segment Vietnam
21.023 106.669
21.02 106.681
21.019 106.687
21.022 106.697
21.01 106.704
21.008 106.701
21.008 106.697
21.018 106.666
21.022 106.663
21.024 106.666
21.023 106.669
segment Vietnam
21.002 106.723
21.006 106.716
21.009 106.715
21.013 106.716
21.011 106.726
21.005 106.727
21.002 106.726
21.002 106.723
segment Vietnam
20.994 106.685
20.997 106.679
21 106.681
21.003 106.678
21.006 106.678
21 106.696
20.998 106.695
20.998 106.691
20.994 106.685
segment Vietnam
20.986 106.709
20.989 106.695
20.993 106.693
21 106.704
20.998 106.717
20.995 106.724
20.991 106.716
20.986 106.709
segment Vietnam
20.989 106.786
20.986 106.788
20.98 106.784
20.981 106.777
20.983 106.774
20.99 106.777
20.989 106.786
segment Vietnam
20.949 107.035
20.954 107.025
20.954 107.022
20.954 107.016
20.96 107.021
20.973 107.024
20.978 107.029
20.986 107.031
20.984 107.034
20.976 107.035
20.975 107.037
20.978 107.038
20.981 107.041
20.979 107.049
20.969 107.055
20.964 107.064
20.962 107.066
20.951 107.041
20.949 107.035
segment Vietnam
20.979 106.879
20.974 106.887
20.971 106.889
20.969 106.888
20.971 106.882
20.979 106.879
segment Vietnam
20.934 107.449
20.936 107.447
20.939 107.448
20.944 107.454
20.963 107.467
20.967 107.467
20.974 107.472
20.978 107.478
20.977 107.482
20.973 107.483
20.964 107.482
20.96 107.48
20.934 107.449
segment Vietnam
20.959 107.316
20.96 107.31
20.966 107.304
20.971 107.308
20.972 107.311
20.964 107.314
20.961 107.318
20.959 107.316
segment Vietnam
20.817 107.475
20.818 107.473
20.821 107.472
20.834 107.477
20.834 107.48
20.839 107.481
20.854 107.487
20.858 107.487
20.859 107.486
20.872 107.495
20.876 107.493
20.881 107.483
20.884 107.479
20.889 107.478
20.891 107.48
20.891 107.486
20.884 107.493
20.888 107.5
20.888 107.51
20.89 107.515
20.896 107.517
20.905 107.517
20.915 107.522
20.917 107.525
20.918 107.534
20.924 107.537
20.929 107.54
20.937 107.549
20.938 107.548
20.936 107.542
20.94 107.541
20.967 107.557
20.971 107.561
20.967 107.561
20.957 107.556
20.949 107.554
20.946 107.555
20.944 107.557
20.938 107.559
20.933 107.559
20.919 107.542
20.908 107.53
20.899 107.524
20.885 107.519
20.883 107.513
20.874 107.503
20.861 107.496
20.844 107.493
20.83 107.485
20.82 107.482
20.817 107.475
segment Vietnam
20.933 107.433
20.925 107.425
20.916 107.408
20.916 107.404
20.91 107.393
20.909 107.382
20.907 107.379
20.905 107.366
20.905 107.354
20.906 107.35
20.908 107.35
20.91 107.354
20.913 107.38
20.918 107.388
20.919 107.39
20.921 107.404
20.924 107.413
20.928 107.417
20.94 107.423
20.951 107.424
20.952 107.425
20.948 107.428
20.953 107.432
20.968 107.449
20.97 107.455
20.968 107.457
20.951 107.451
20.943 107.443
20.933 107.433
segment Vietnam
20.929 107.355
20.929 107.347
20.936 107.316
20.939 107.314
20.944 107.317
20.94 107.319
20.941 107.325
20.945 107.332
20.945 107.341
20.943 107.343
20.941 107.343
20.938 107.344
20.944 107.352
20.943 107.357
20.946 107.36
20.946 107.367
20.95 107.368
20.962 107.377
20.961 107.381
20.955 107.383
20.958 107.386
20.963 107.384
20.968 107.389
20.957 107.389
20.948 107.382
20.933 107.364
20.929 107.355
segment Vietnam
20.967 106.897
20.964 106.905
20.963 106.917
20.958 106.921
20.958 106.905
20.959 106.9
20.967 106.897
segment Vietnam
20.952 107.211
20.957 107.211
20.962 107.214
20.966 107.218
20.966 107.222
20.965 107.223
20.962 107.222
20.96 107.217
20.953 107.213
20.952 107.211
segment Vietnam
20.928 106.894
20.938 106.901
20.94 106.9
20.934 106.893
20.934 106.89
20.936 106.889
20.949 106.893
20.954 106.893
20.955 106.896
20.953 106.9
20.952 106.908
20.946 106.92
20.937 106.929
20.931 106.924
20.931 106.932
20.925 106.935
20.922 106.934
20.922 106.929
20.92 106.926
20.917 106.928
20.917 106.932
20.917 106.936
20.92 106.94
20.914 106.95
20.912 106.951
20.91 106.949
20.91 106.938
20.909 106.934
20.911 106.922
20.909 106.915
20.91 106.912
20.916 106.911
20.919 106.907
20.917 106.9
20.923 106.896
20.925 106.897
20.928 106.894
segment Vietnam
20.935 106.947
20.946 106.93
20.952 106.929
20.954 106.93
20.953 106.935
20.947 106.941
20.941 106.951
20.938 106.953
20.936 106.952
20.935 106.947
segment Vietnam
20.94 107.386
20.941 107.384
20.944 107.384
20.947 107.387
20.95 107.394
20.949 107.396
20.947 107.397
20.94 107.386
segment Vietnam
20.921 106.987
20.93 106.977
20.937 106.976
20.939 106.979
20.939 106.991
20.935 106.996
20.922 106.99
20.921 106.987
segment Vietnam
20.819 106.843
20.83 106.837
20.833 106.837
20.837 106.834
20.846 106.835
20.85 106.832
20.851 106.83
20.853 106.829
20.856 106.821
20.862 106.825
20.865 106.825
20.878 106.808
20.882 106.799
20.891 106.795
20.897 106.79
20.917 106.786
20.925 106.782
20.93 106.781
20.931 106.803
20.93 106.807
20.929 106.811
20.923 106.819
20.921 106.829
20.909 106.837
20.904 106.844
20.902 106.846
20.888 106.845
20.879 106.847
20.865 106.853
20.859 106.859
20.856 106.866
20.853 106.868
20.848 106.868
20.846 106.871
20.838 106.873
20.835 106.871
20.832 106.873
20.827 106.867
20.824 106.866
20.827 106.877
20.826 106.882
20.823 106.883
20.815 106.877
20.812 106.879
20.818 106.885
20.816 106.894
20.813 106.896
20.81 106.892
20.807 106.897
20.801 106.898
20.805 106.904
20.802 106.907
20.794 106.894
20.792 106.891
20.794 106.889
20.795 106.886
20.796 106.875
20.791 106.876
20.79 106.865
20.79 106.856
20.797 106.858
20.797 106.854
20.802 106.856
20.803 106.852
20.807 106.848
20.819 106.843
segment Vietnam
20.917 107.348
20.917 107.34
20.921 107.326
20.924 107.323
20.926 107.315
20.927 107.315
20.929 107.317
20.93 107.328
20.927 107.332
20.922 107.345
20.918 107.35
20.917 107.348
segment Vietnam
20.887 107.326
20.888 107.32
20.895 107.315
20.903 107.314
20.908 107.311
20.911 107.312
20.915 107.316
20.912 107.318
20.902 107.322
20.895 107.323
20.889 107.327
20.887 107.326
segment Vietnam
20.903 106.903
20.904 106.901
20.906 106.9
20.913 106.902
20.915 106.907
20.911 106.908
20.908 106.907
20.905 106.906
20.903 106.903
segment Vietnam
20.913 107.517
20.9 107.511
20.896 107.506
20.899 107.503
20.898 107.498
20.9 107.492
20.896 107.481
20.898 107.48
20.902 107.483
20.904 107.495
20.912 107.504
20.911 107.508
20.914 107.511
20.913 107.517
segment Vietnam
20.876 107.324
20.875 107.321
20.879 107.318
20.88 107.315
20.894 107.301
20.897 107.3
20.901 107.3
20.906 107.299
20.895 107.31
20.876 107.324
segment Vietnam
20.877 106.789
20.88 106.794
20.879 106.798
20.865 106.819
20.863 106.82
20.862 106.817
20.854 106.817
20.851 106.819
20.847 106.831
20.844 106.831
20.852 106.804
20.851 106.8
20.853 106.798
20.852 106.793
20.856 106.788
20.861 106.782
20.863 106.777
20.857 106.774
20.859 106.772
20.866 106.773
20.866 106.769
20.869 106.767
20.878 106.765
20.892 106.769
20.904 106.777
20.906 106.781
20.903 106.784
20.9 106.785
20.898 106.779
20.897 106.778
20.893 106.781
20.894 106.786
20.889 106.792
20.884 106.793
20.883 106.789
20.877 106.789
segment Vietnam
20.886 107.435
20.892 107.426
20.892 107.42
20.894 107.418
20.895 107.42
20.896 107.425
20.901 107.431
20.904 107.438
20.904 107.449
20.9 107.452
20.897 107.451
20.886 107.435
segment Vietnam
20.87 106.861
20.881 106.855
20.889 106.853
20.895 106.852
20.898 106.855
20.897 106.861
20.903 106.869
20.902 106.871
20.889 106.877
20.882 106.872
20.874 106.872
20.87 106.861
segment Vietnam
20.89 107.356
20.893 107.349
20.899 107.343
20.9 107.348
20.896 107.35
20.896 107.355
20.89 107.356
segment Vietnam
20.89 107.356
20.893 107.359
20.89 107.366
20.892 107.369
20.89 107.373
20.892 107.38
20.882 107.387
20.891 107.387
20.892 107.393
20.889 107.393
20.887 107.39
20.881 107.397
20.879 107.392
20.876 107.389
20.873 107.389
20.869 107.395
20.868 107.394
20.867 107.394
20.869 107.385
20.862 107.376
20.861 107.369
20.862 107.364
20.861 107.36
20.865 107.357
20.865 107.353
20.885 107.345
20.884 107.342
20.874 107.34
20.875 107.338
20.878 107.335
20.888 107.335
20.894 107.333
20.896 107.334
20.888 107.349
20.888 107.353
20.89 107.356
segment Vietnam
20.883 107.007
20.885 107.005
20.892 107.006
20.896 107.01
20.895 107.012
20.89 107.013
20.887 107.012
20.887 107.01
20.883 107.007
segment Vietnam
20.871 106.985
20.872 106.981
20.876 106.985
20.885 106.982
20.887 106.983
20.885 106.987
20.89 106.992
20.888 106.995
20.885 106.992
20.88 106.99
20.877 106.992
20.876 106.996
20.873 106.997
20.871 106.985
segment Vietnam
20.867 107.21
20.874 107.204
20.875 107.199
20.879 107.192
20.876 107.189
20.876 107.186
20.886 107.193
20.881 107.206
20.884 107.21
20.885 107.213
20.879 107.211
20.875 107.214
20.867 107.21
segment Vietnam
20.852 106.759
20.856 106.749
20.864 106.743
20.865 106.74
20.865 106.735
20.87 106.731
20.872 106.725
20.877 106.722
20.879 106.724
20.879 106.729
20.885 106.73
20.886 106.732
20.88 106.735
20.877 106.738
20.877 106.747
20.854 106.76
20.852 106.759
segment Vietnam
20.869 107.048
20.871 107.045
20.873 107.04
20.88 107.039
20.88 107.033
20.884 107.034
20.883 107.04
20.876 107.047
20.873 107.048
20.869 107.048
segment Vietnam
20.786 107.085
20.785 107.081
20.795 107.073
20.802 107.07
20.814 107.064
20.816 107.059
20.816 107.056
20.807 107.063
20.794 107.069
20.785 107.075
20.778 107.071
20.779 107.062
20.776 107.051
20.774 107.048
20.772 107.048
20.771 107.057
20.769 107.059
20.766 107.049
20.767 107.046
20.772 107.042
20.778 107.04
20.78 107.039
20.787 107.035
20.782 107.034
20.775 107.036
20.756 107.048
20.753 107.053
20.752 107.064
20.746 107.073
20.744 107.074
20.73 107.07
20.728 107.068
20.73 107.066
20.741 107.068
20.746 107.064
20.747 107.06
20.745 107.059
20.737 107.06
20.73 107.061
20.722 107.06
20.716 107.054
20.715 107.047
20.723 107.052
20.725 107.051
20.726 107.049
20.725 107.043
20.73 107.038
20.724 107.033
20.727 107.028
20.726 107.026
20.726 107.022
20.731 107.02
20.733 107.023
20.735 107.041
20.737 107.043
20.739 107.042
20.74 107.022
20.74 107.02
20.743 107.017
20.749 107.022
20.752 107.02
20.75 107.016
20.746 107.012
20.75 107.003
20.744 107.002
20.733 107.004
20.729 107.003
20.742 106.996
20.737 106.991
20.747 106.984
20.755 106.973
20.758 106.971
20.758 106.976
20.762 106.977
20.771 106.972
20.772 106.972
20.78 106.965
20.792 106.952
20.792 106.939
20.796 106.925
20.798 106.922
20.8 106.923
20.801 106.927
20.807 106.923
20.811 106.918
20.815 106.915
20.82 106.919
20.822 106.918
20.821 106.913
20.827 106.909
20.845 106.922
20.848 106.926
20.849 106.927
20.85 106.93
20.847 106.933
20.844 106.927
20.842 106.927
20.841 106.929
20.845 106.939
20.841 106.946
20.838 106.946
20.834 106.942
20.828 106.927
20.826 106.927
20.827 106.932
20.832 106.949
20.837 106.95
20.846 106.947
20.849 106.948
20.853 106.952
20.863 106.947
20.871 106.952
20.876 106.956
20.863 106.955
20.857 106.957
20.855 106.962
20.858 106.982
20.849 106.985
20.858 106.992
20.861 107
20.861 107.003
20.845 107.014
20.86 107.014
20.862 107.022
20.859 107.026
20.862 107.031
20.861 107.035
20.859 107.037
20.846 107.047
20.827 107.045
20.817 107.05
20.822 107.053
20.829 107.049
20.833 107.049
20.835 107.051
20.831 107.054
20.833 107.06
20.825 107.063
20.821 107.068
20.815 107.071
20.815 107.073
20.823 107.077
20.823 107.082
20.823 107.083
20.819 107.091
20.809 107.096
20.809 107.102
20.805 107.104
20.804 107.11
20.802 107.112
20.792 107.113
20.793 107.105
20.792 107.103
20.804 107.09
20.805 107.088
20.802 107.086
20.793 107.096
20.782 107.102
20.78 107.101
20.779 107.089
20.781 107.087
20.786 107.085
segment Vietnam
20.861 106.968
20.868 106.961
20.871 106.961
20.875 106.965
20.87 106.974
20.865 106.976
20.863 106.975
20.861 106.968
segment Vietnam
20.847 106.9
20.855 106.892
20.856 106.886
20.859 106.886
20.86 106.889
20.865 106.889
20.864 106.892
20.866 106.893
20.871 106.891
20.874 106.892
20.873 106.895
20.858 106.901
20.849 106.902
20.847 106.9
segment Vietnam
20.841 106.913
20.844 106.912
20.859 106.92
20.856 106.922
20.853 106.921
20.841 106.913
segment Vietnam
20.829 107.109
20.834 107.098
20.839 107.101
20.846 107.095
20.839 107.09
20.841 107.087
20.844 107.086
20.848 107.088
20.85 107.093
20.853 107.093
20.857 107.099
20.857 107.101
20.851 107.101
20.842 107.106
20.837 107.106
20.837 107.109
20.829 107.109
segment Vietnam
20.837 107.275
20.843 107.277
20.844 107.274
20.849 107.284
20.857 107.284
20.857 107.288
20.848 107.288
20.848 107.292
20.846 107.295
20.842 107.292
20.837 107.275
segment Vietnam
20.844 107.187
20.846 107.185
20.846 107.181
20.847 107.178
20.852 107.174
20.854 107.175
20.856 107.176
20.852 107.179
20.848 107.186
20.846 107.188
20.844 107.187
segment Vietnam
20.796 107.384
20.796 107.381
20.803 107.376
20.809 107.359
20.809 107.353
20.805 107.346
20.821 107.347
20.838 107.343
20.852 107.337
20.855 107.337
20.855 107.34
20.848 107.345
20.846 107.345
20.834 107.35
20.815 107.351
20.813 107.353
20.815 107.354
20.836 107.354
20.836 107.356
20.83 107.362
20.826 107.369
20.826 107.375
20.831 107.38
20.832 107.383
20.812 107.382
20.797 107.385
20.796 107.384
segment Vietnam
20.843 106.895
20.848 106.882
20.855 106.88
20.851 106.892
20.847 106.895
20.843 106.895
segment Vietnam
20.828 106.763
20.831 106.76
20.841 106.759
20.849 106.756
20.846 106.767
20.844 106.77
20.838 106.77
20.837 106.772
20.834 106.777
20.825 106.778
20.823 106.78
20.824 106.782
20.823 106.785
20.818 106.798
20.814 106.803
20.819 106.807
20.822 106.811
20.816 106.813
20.814 106.812
20.809 106.801
20.809 106.783
20.818 106.773
20.82 106.77
20.828 106.763
segment Vietnam
20.847 107.361
20.846 107.364
20.834 107.365
20.838 107.361
20.847 107.361
segment Vietnam
20.831 107.167
20.834 107.166
20.838 107.17
20.844 107.17
20.843 107.174
20.84 107.175
20.833 107.175
20.834 107.172
20.831 107.169
20.831 107.167
segment Vietnam
20.772 107.128
20.778 107.122
20.791 107.117
20.801 107.119
20.807 107.116
20.808 107.12
20.812 107.117
20.815 107.118
20.808 107.128
20.804 107.13
20.8 107.129
20.798 107.13
20.8 107.133
20.799 107.135
20.79 107.135
20.786 107.132
20.783 107.136
20.78 107.13
20.777 107.134
20.774 107.133
20.772 107.128
segment Vietnam
20.771 107.411
20.779 107.407
20.779 107.403
20.788 107.403
20.799 107.401
20.806 107.402
20.81 107.407
20.808 107.418
20.805 107.421
20.799 107.423
20.778 107.418
20.772 107.414
20.771 107.411
segment Vietnam
20.757 107.482
20.759 107.479
20.766 107.476
20.772 107.482
20.772 107.488
20.779 107.494
20.775 107.494
20.768 107.493
20.761 107.489
20.757 107.482
segment Vietnam
20.759 107.088
20.763 107.083
20.763 107.079
20.765 107.077
20.769 107.08
20.767 107.082
20.767 107.086
20.772 107.084
20.775 107.085
20.773 107.095
20.765 107.095
20.764 107.09
20.759 107.088
segment Vietnam
20.741 107.136
20.743 107.134
20.75 107.13
20.752 107.131
20.762 107.138
20.767 107.143
20.764 107.144
20.76 107.143
20.754 107.144
20.749 107.143
20.744 107.143
20.741 107.136
segment Vietnam
20.748 107.389
20.754 107.391
20.76 107.397
20.759 107.4
20.756 107.402
20.752 107.398
20.749 107.394
20.748 107.389
segment Vietnam
20.717 107.456
20.719 107.452
20.721 107.45
20.725 107.451
20.728 107.461
20.742 107.475
20.736 107.475
20.724 107.467
20.718 107.46
20.717 107.456
segment Vietnam
20.581 106.605
20.579 106.605
20.571 106.596
20.572 106.593
20.576 106.597
20.581 106.605
segment Vietnam
20.189 106.547
20.189 106.544
20.191 106.544
20.2 106.564
20.198 106.565
20.194 106.56
20.189 106.547
segment Vietnam
20.127 107.716
20.128 107.714
20.131 107.715
20.141 107.73
20.141 107.734
20.14 107.736
20.129 107.731
20.127 107.728
20.13 107.723
20.127 107.716
segment Vietnam
23.388 105.331
23.389 105.332
23.389 105.335
23.387 105.338
23.378 105.337
23.374 105.339
23.366 105.35
23.361 105.353
23.338 105.364
23.332 105.371
23.33 105.373
23.319 105.377
23.312 105.388
23.301 105.4
23.29 105.411
23.291 105.417
23.299 105.423
23.309 105.427
23.311 105.435
23.31 105.438
23.306 105.442
23.291 105.453
23.285 105.457
23.276 105.467
23.262 105.476
23.246 105.489
23.233 105.491
23.23 105.492
23.222 105.494
23.217 105.499
23.211 105.501
23.209 105.524
23.201 105.534
23.187 105.556
23.177 105.563
23.168 105.567
23.145 105.573
23.135 105.568
23.116 105.575
23.109 105.576
23.091 105.576
23.082 105.576
23.074 105.584
23.075 105.592
23.083 105.603
23.084 105.61
23.076 105.619
23.076 105.626
23.082 105.637
23.084 105.64
23.084 105.646
23.071 105.675
23.067 105.691
23.067 105.698
23.069 105.71
23.067 105.727
23.063 105.734
23.047 105.738
23.041 105.741
23.039 105.747
23.042 105.765
23.041 105.769
23.035 105.775
23.017 105.793
22.996 105.805
22.993 105.82
22.987 105.832
22.979 105.837
22.968 105.842
22.957 105.854
22.946 105.857
22.938 105.862
22.938 105.87
22.934 105.874
22.926 105.876
22.921 105.881
22.92 105.885
22.923 105.887
22.931 105.893
22.933 105.894
22.939 105.898
22.944 105.91
22.948 105.924
22.948 105.929
22.94 105.933
22.938 105.939
22.937 105.953
22.939 105.958
22.949 105.963
22.946 105.98
22.94 105.99
22.941 105.993
22.939 106.002
22.948 106.003
22.954 106.005
22.964 106.009
22.973 106.007
22.976 105.999
22.994 106.01
22.992 106.026
22.993 106.052
22.993 106.06
22.993 106.069
22.998 106.079
22.999 106.085
22.995 106.1
22.987 106.125
22.994 106.131
22.996 106.145
22.995 106.154
22.986 106.174
22.986 106.208
22.974 106.216
22.959 106.232
22.956 106.243
22.939 106.251
22.928 106.253
22.92 106.265
22.911 106.267
22.904 106.266
22.892 106.26
22.882 106.267
22.876 106.268
22.875 106.271
22.874 106.274
22.873 106.281
22.868 106.289
22.873 106.301
22.869 106.309
22.862 106.315
22.863 106.322
22.872 106.329
22.87 106.335
22.86 106.345
22.858 106.351
22.86 106.36
22.866 106.367
22.877 106.369
22.884 106.38
22.883 106.396
22.881 106.402
22.874 106.415
22.879 106.418
22.884 106.416
22.89 106.42
22.893 106.428
22.887 106.435
22.889 106.444
22.9 106.453
22.903 106.457
22.897 106.468
22.898 106.471
22.904 106.475
22.908 106.481
22.905 106.492
22.905 106.501
22.91 106.505
22.927 106.507
22.941 106.514
22.946 106.521
22.948 106.541
22.925 106.558
22.923 106.57
22.924 106.577
22.931 106.595
22.929 106.604
22.923 106.611
22.916 106.616
22.905 106.62
22.896 106.627
22.892 106.632
22.877 106.634
22.868 106.657
22.868 106.66
22.873 106.667
22.875 106.674
22.885 106.672
22.889 106.674
22.89 106.68
22.883 106.69
22.885 106.696
22.885 106.704
22.887 106.709
22.883 106.714
22.876 106.721
22.865 106.714
22.861 106.71
22.854 106.724
22.842 106.743
22.834 106.753
22.828 106.762
22.826 106.771
22.823 106.772
22.813 106.769
22.81 106.771
22.813 106.783
22.811 106.791
22.811 106.794
22.817 106.801
22.816 106.809
22.817 106.813
22.818 106.819
22.812 106.825
22.806 106.826
22.802 106.826
22.797 106.819
22.788 106.814
22.774 106.81
22.763 106.795
22.753 106.788
22.742 106.778
22.736 106.774
22.728 106.771
22.715 106.774
22.707 106.788
22.693 106.765
22.689 106.761
22.681 106.766
22.673 106.763
22.672 106.749
22.669 106.742
22.657 106.742
22.645 106.737
22.641 106.731
22.629 106.733
22.624 106.732
22.616 106.722
22.61 106.721
22.605 106.731
22.594 106.733
22.586 106.732
22.581 106.717
22.583 106.703
22.576 106.69
22.57 106.681
22.573 106.672
22.572 106.667
22.55 106.643
22.548 106.635
22.548 106.625
22.548 106.604
22.547 106.596
22.544 106.592
22.531 106.59
22.521 106.585
22.484 106.586
22.474 106.584
22.468 106.578
22.464 106.569
22.457 106.565
22.448 106.565
22.438 106.567
22.431 106.573
22.423 106.566
22.418 106.566
22.406 106.571
22.39 106.573
22.378 106.586
22.375 106.588
22.37 106.584
22.367 106.577
22.35 106.568
22.347 106.57
22.343 106.574
22.343 106.586
22.342 106.606
22.341 106.612
22.341 106.619
22.334 106.628
22.34 106.645
22.34 106.652
22.337 106.659
22.334 106.662
22.32 106.671
22.295 106.673
22.29 106.675
22.291 106.687
22.281 106.694
22.276 106.695
22.264 106.691
22.253 106.694
22.244 106.689
22.234 106.687
22.226 106.684
22.207 106.684
22.197 106.685
22.186 106.682
22.181 106.682
22.171 106.686
22.167 106.693
22.165 106.705
22.159 106.709
22.153 106.702
22.146 106.7
22.14 106.695
22.135 106.699
22.118 106.701
22.112 106.704
22.105 106.715
22.101 106.717
22.092 106.714
22.078 106.712
22.07 106.708
22.059 106.705
22.051 106.704
22.028 106.711
22.023 106.709
22.008 106.694
21.997 106.69
21.966 106.697
21.972 106.707
21.976 106.722
21.979 106.722
21.983 106.724
21.992 106.732
22.005 106.736
22.012 106.741
22.016 106.759
22.015 106.771
22.013 106.773
22.008 106.791
22.005 106.794
21.992 106.794
21.99 106.8
21.98 106.804
21.977 106.808
21.977 106.817
21.986 106.841
21.983 106.848
21.983 106.858
21.986 106.875
21.982 106.891
21.979 106.902
21.979 106.924
21.965 106.929
21.951 106.928
21.934 106.934
21.931 106.938
21.932 106.946
21.934 106.954
21.927 106.961
21.926 106.969
21.925 106.972
21.927 106.98
21.933 106.985
21.945 106.989
21.954 106.997
21.948 107.01
21.95 107.021
21.945 107.03
21.942 107.031
21.93 107.052
21.923 107.058
21.903 107.063
21.898 107.064
21.89 107.061
21.885 107.056
21.881 107.045
21.876 107.038
21.872 107.036
21.861 107.024
21.853 107.021
21.829 107.023
21.826 107.026
21.819 107.036
21.815 107.049
21.813 107.066
21.813 107.088
21.809 107.092
21.803 107.097
21.794 107.118
21.771 107.138
21.764 107.146
21.756 107.169
21.746 107.193
21.733 107.203
21.723 107.203
21.718 107.207
21.709 107.23
21.706 107.237
21.708 107.252
21.719 107.257
21.729 107.27
21.734 107.279
21.735 107.293
21.741 107.296
21.744 107.303
21.742 107.307
21.732 107.312
21.727 107.318
21.724 107.325
21.71 107.327
21.7 107.336
21.692 107.34
21.684 107.352
21.677 107.358
21.669 107.365
21.665 107.366
21.657 107.365
21.643 107.367
21.635 107.364
21.625 107.364
21.605 107.37
21.598 107.384
21.598 107.387
21.599 107.39
21.611 107.401
21.619 107.402
21.622 107.407
21.624 107.412
21.636 107.421
21.646 107.426
21.656 107.447
21.659 107.457
21.665 107.47
21.665 107.479
21.661 107.486
21.654 107.491
21.635 107.501
21.626 107.501
21.618 107.499
21.612 107.504
21.618 107.51
21.622 107.52
21.621 107.55
21.614 107.567
21.614 107.576
21.617 107.582
21.616 107.589
21.609 107.605
21.609 107.611
21.607 107.614
21.608 107.639
21.605 107.653
21.606 107.66
21.606 107.667
21.618 107.706
21.624 107.718
21.631 107.726
21.634 107.735
21.641 107.746
21.644 107.75
21.651 107.784
21.657 107.789
21.658 107.805
21.661 107.809
21.661 107.823
21.659 107.828
21.657 107.83
21.647 107.832
21.645 107.834
21.646 107.841
21.645 107.847
21.654 107.85
21.656 107.858
21.655 107.868
21.652 107.87
21.652 107.873
21.649 107.876
21.642 107.878
21.64 107.883
21.638 107.885
21.632 107.882
21.629 107.891
21.618 107.895
21.614 107.889
21.607 107.896
21.602 107.896
21.6 107.9
21.593 107.903
21.592 107.905
21.592 107.911
21.589 107.916
21.592 107.923
21.591 107.928
21.589 107.93
21.576 107.941
21.568 107.948
21.544 107.958
21.54 107.967
21.54 107.977
21.543 107.986
21.55 108.003
21.552 108.024
21.549 108.024
21.545 108.026
21.543 108.034
21.542 108.036
21.54 108.032
21.536 108.031
21.544 108.017
21.544 108.009
21.541 108.008
21.538 108.009
21.537 108.014
21.532 108.019
21.533 108.025
21.532 108.029
21.528 108.035
21.525 108.033
21.526 108.011
21.511 108.009
21.51 108.009
21.512 108.017
21.509 108.018
21.505 108.016
21.506 108.028
21.504 108.033
21.499 108.029
21.5 108.02
21.497 108.014
21.498 108.007
21.492 108.006
21.489 108.002
21.49 107.99
21.484 107.989
21.482 107.987
21.487 107.984
21.484 107.981
21.486 107.977
21.484 107.974
21.485 107.97
21.496 107.971
21.499 107.969
21.488 107.966
21.479 107.968
21.476 107.967
21.475 107.961
21.471 107.959
21.458 107.961
21.449 107.96
21.447 107.959
21.446 107.955
21.446 107.949
21.449 107.947
21.456 107.949
21.455 107.942
21.463 107.934
21.462 107.931
21.455 107.938
21.454 107.938
21.439 107.947
21.437 107.945
21.439 107.94
21.438 107.936
21.448 107.923
21.448 107.92
21.454 107.919
21.461 107.922
21.465 107.918
21.471 107.922
21.472 107.924
21.47 107.927
21.479 107.931
21.481 107.936
21.485 107.936
21.492 107.932
21.498 107.936
21.502 107.934
21.505 107.928
21.506 107.928
21.51 107.928
21.514 107.922
21.518 107.921
21.528 107.923
21.528 107.92
21.524 107.917
21.524 107.91
21.527 107.901
21.534 107.899
21.536 107.896
21.535 107.891
21.528 107.895
21.525 107.892
21.521 107.891
21.52 107.887
21.515 107.887
21.516 107.872
21.521 107.869
21.522 107.864
21.528 107.868
21.531 107.867
21.532 107.865
21.531 107.863
21.531 107.861
21.524 107.854
21.508 107.847
21.5 107.85
21.494 107.851
21.487 107.85
21.477 107.843
21.477 107.84
21.479 107.838
21.5 107.834
21.51 107.832
21.522 107.835
21.536 107.833
21.528 107.83
21.52 107.831
21.517 107.83
21.519 107.825
21.517 107.825
21.506 107.828
21.499 107.825
21.485 107.824
21.488 107.819
21.491 107.817
21.492 107.816
21.509 107.813
21.502 107.808
21.51 107.806
21.515 107.802
21.52 107.793
21.524 107.791
21.523 107.783
21.525 107.779
21.518 107.771
21.514 107.758
21.508 107.751
21.507 107.753
21.508 107.761
21.507 107.765
21.508 107.777
21.507 107.778
21.499 107.786
21.496 107.794
21.494 107.792
21.493 107.788
21.491 107.789
21.49 107.795
21.488 107.798
21.48 107.802
21.477 107.8
21.477 107.798
21.481 107.795
21.482 107.791
21.486 107.783
21.484 107.781
21.482 107.782
21.477 107.787
21.474 107.789
21.47 107.789
21.459 107.785
21.457 107.778
21.459 107.774
21.451 107.772
21.448 107.769
21.447 107.766
21.446 107.763
21.439 107.766
21.433 107.765
21.43 107.755
21.427 107.757
21.426 107.761
21.423 107.764
21.421 107.759
21.419 107.753
21.418 107.753
21.415 107.757
21.41 107.754
21.407 107.756
21.405 107.752
21.4 107.751
21.406 107.747
21.414 107.747
21.413 107.743
21.401 107.741
21.398 107.739
21.402 107.736
21.407 107.737
21.41 107.735
21.412 107.731
21.407 107.728
21.413 107.718
21.414 107.715
21.402 107.723
21.392 107.723
21.39 107.723
21.388 107.719
21.388 107.715
21.391 107.709
21.4 107.702
21.404 107.704
21.405 107.709
21.408 107.709
21.407 107.694
21.402 107.697
21.396 107.697
21.393 107.699
21.389 107.698
21.388 107.696
21.389 107.692
21.396 107.685
21.404 107.683
21.415 107.678
21.42 107.674
21.418 107.673
21.41 107.677
21.408 107.678
21.399 107.672
21.414 107.66
21.413 107.658
21.411 107.659
21.405 107.663
21.399 107.664
